relation_raw,category_50,category_simple
binds reversibly to,MoA_BindingAffinity,Gắn kết
binds strongly to,MoA_BindingAffinity,Gắn kết
binds to,MoA_BindingAffinity,Gắn kết
binds to and detoxifies,MoA_BindingAffinity,Gắn kết
binds to and inhibits,MoA_InhibitionBlockade,Ức chế
binds to the enzyme responsible for,MoA_BindingAffinity,Gắn kết
binds toxins produced by,Taxonomy_ProductOf,Tạo ra bởi
binds with,MoA_BindingAffinity,Gắn kết
binds with high affinity to,MoA_BindingAffinity,Gắn kết
blocks,MoA_InhibitionBlockade,Ức chế
blocks activity of,MoA_InhibitionBlockade,Ức chế
blocks reuptake of,MoA_InhibitionBlockade,Ức chế
blocks the action of,MoA_InhibitionBlockade,Ức chế
blocks the activity of,MoA_InhibitionBlockade,Ức chế
blocks the production of,MoA_InhibitionBlockade,Ức chế
blocks transmission of,MoA_InhibitionBlockade,Ức chế
blunts the surge of,Etiology_AssociatedWith,Liên quan
boosts,Etiology_AssociatedWith,Liên quan
brand name,Alias_Name,Tên khác
breaks down,Etiology_AssociatedWith,Liên quan
burst and release,Etiology_AssociatedWith,Liên quan
bypasses,Etiology_AssociatedWith,Liên quan
can activate,MoA_ActivationInduction,Kích hoạt
can advance to,Etiology_AssociatedWith,Liên quan
can affect,Etiology_AssociatedWith,Liên quan
can alkalinize,Etiology_AssociatedWith,Liên quan
can alleviate,Etiology_AssociatedWith,Liên quan
can alleviate symptoms of,Clinical_SymptomSign,Triệu chứng
can also affect,Etiology_AssociatedWith,Liên quan
can appear concurrently with,Etiology_AssociatedWith,Liên quan
can arise,Etiology_AssociatedWith,Liên quan
can arise from,Etiology_AssociatedWith,Liên quan
can arise in,Etiology_AssociatedWith,Liên quan
can be,Etiology_AssociatedWith,Liên quan
can be accompanied by,Etiology_AssociatedWith,Liên quan
can be achieved by,Etiology_AssociatedWith,Liên quan
can be achieved through,Etiology_AssociatedWith,Liên quan
can be administered,Etiology_AssociatedWith,Liên quan
can be administered as,Etiology_AssociatedWith,Liên quan
can be administered in,Etiology_AssociatedWith,Liên quan
can be administered via,Treatment_AdministrationRoute,Đường dùng
can be affected by,Etiology_AssociatedWith,Liên quan
can be associated with,Etiology_AssociatedWith,Liên quan
can be attributed to,Etiology_CausedBy,Do nguyên nhân
can be beneficial in managing,Etiology_AssociatedWith,Liên quan
can be bound to,Etiology_AssociatedWith,Liên quan
can be caused by,Etiology_CausedBy,Do nguyên nhân
can be classified as,Taxonomy_IsA,Là loại
can be classified into,Taxonomy_MemberOf,Thuộc nhóm
can be combined with,DrugInteraction,Tương tác thuốc
can be complicated by,Clinical_Complication,Biến chứng
can be confined to,Etiology_AssociatedWith,Liên quan
can be confirmed through,Diagnosis_DiagnosticMethod,Cách chẩn đoán
can be considered a first line treatment for,Treatment_IndicationUse,Điều trị / chỉ định
can be considered for,Etiology_AssociatedWith,Liên quan
can be contributed to by,Etiology_AssociatedWith,Liên quan
can be controlled with,Etiology_AssociatedWith,Liên quan
can be converted into,PK_Metabolism,Chuyển hóa
can be converted to,PK_Metabolism,Chuyển hóa
can be detected by,Diagnosis_DiagnosticMethod,Cách chẩn đoán
can be diagnosed by,Diagnosis_DiagnosticMethod,Cách chẩn đoán
can be diagnosed through,Diagnosis_DiagnosticMethod,Cách chẩn đoán
can be diagnosed using,Diagnosis_DiagnosticMethod,Cách chẩn đoán
can be diagnosed with,Diagnosis_DiagnosticMethod,Cách chẩn đoán
can be distinguished from,Diagnosis_DiagnosticMethod,Cách chẩn đoán
can be done through,Etiology_AssociatedWith,Liên quan
can be dosed,Treatment_DoseRegimen,Liều dùng
can be effective in,Treatment_IndicationUse,Điều trị / chỉ định
can be exacerbated by,Etiology_AssociatedWith,Liên quan
can be formulated into,Etiology_AssociatedWith,Liên quan
can be found in,Anatomy_LocatedIn,Nằm ở
can be given alone or in combination with,Etiology_AssociatedWith,Liên quan
can be grouped into,Etiology_AssociatedWith,Liên quan
can be identified by,Diagnosis_DiagnosticMethod,Cách chẩn đoán
can be identified through,Etiology_AssociatedWith,Liên quan
can be incorporated into,Etiology_AssociatedWith,Liên quan
can be increased by,Etiology_AssociatedWith,Liên quan
can be influenced by,Etiology_AssociatedWith,Liên quan
can be inherited due to,Genetics_InheritanceCarrier,Di truyền
can be inherited from,Genetics_InheritanceCarrier,Di truyền
can be inherited or acquired due to,Genetics_InheritanceCarrier,Di truyền
can be life threatening for,Etiology_AssociatedWith,Liên quan
can be linked to,Etiology_AssociatedWith,Liên quan
can be managed by,Treatment_ManagementCare,Theo dõi / chăm sóc
can be managed with,Treatment_ManagementCare,Theo dõi / chăm sóc
can be measured to monitor,Treatment_ManagementCare,Theo dõi / chăm sóc
can be metabolized to,PK_Metabolism,Chuyển hóa
can be metabolized without,PK_Metabolism,Chuyển hóa
can be misdiagnosed as,Etiology_AssociatedWith,Liên quan
can be mistaken for,Etiology_AssociatedWith,Liên quan
can be obtained through,Etiology_AssociatedWith,Liên quan
can be prevented by,Prevention_Prophylaxis,Phòng ngừa
can be prolonged up to,Etiology_AssociatedWith,Liên quan
can be proposed for,Etiology_AssociatedWith,Liên quan
can be reduced to,Etiology_AssociatedWith,Liên quan
can be related to,Etiology_AssociatedWith,Liên quan
can be replaced by,Etiology_AssociatedWith,Liên quan
can be reversed by,Etiology_AssociatedWith,Liên quan
can be reversed with,Etiology_AssociatedWith,Liên quan
can be synthesized by,Taxonomy_ProductOf,Tạo ra bởi
can be the initial manifestation of,Clinical_ManifestationPresentation,Biểu hiện
can be treated,Treatment_IndicationUse,Điều trị / chỉ định
can be treated through,Treatment_IndicationUse,Điều trị / chỉ định
can be treated using,Treatment_IndicationUse,Điều trị / chỉ định
can be treated with,Treatment_IndicationUse,Điều trị / chỉ định
can be triggered by,Etiology_TriggerExacerbating,Kích hoạt / làm nặng
can be used adjunctly with,Etiology_AssociatedWith,Liên quan
can be used as,Etiology_AssociatedWith,Liên quan
can be used as an alternative to,Etiology_AssociatedWith,Liên quan
can be used as part of,Taxonomy_PartOf,Thành phần của
can be used for,Treatment_IndicationUse,Điều trị / chỉ định
can be used in combination with,DrugInteraction,Tương tác thuốc
can be used in conjunction with,Etiology_AssociatedWith,Liên quan
can be used in the management of,Treatment_ManagementCare,Theo dõi / chăm sóc
can be used to,Treatment_IndicationUse,Điều trị / chỉ định
can be used to manage,Treatment_IndicationUse,Điều trị / chỉ định
can be used to treat,Treatment_IndicationUse,Điều trị / chỉ định
can be used with,Etiology_AssociatedWith,Liên quan
can be utilized for,Etiology_AssociatedWith,Liên quan
can be worsened by,Etiology_TriggerExacerbating,Kích hoạt / làm nặng
can become,Etiology_AssociatedWith,Liên quan
can become a focal point for,Etiology_AssociatedWith,Liên quan
can begin as early as,Etiology_AssociatedWith,Liên quan
can benefit,Etiology_AssociatedWith,Liên quan
can benefit from,Etiology_AssociatedWith,Liên quan
can bind to,MoA_BindingAffinity,Gắn kết
can cause,Etiology_AssociatedWith,Liên quan
can cause complications such as,Clinical_Complication,Biến chứng
can cause deficiencies in,Diagnosis_LabFinding,Xét nghiệm
can cause reproductive complications such as,Etiology_AssociatedWith,Liên quan
can cause severe reactions such as,Etiology_AssociatedWith,Liên quan
can cause significant side effects including,Safety_AdverseEffect,Tác dụng phụ
can co occur with,Clinical_Comorbidity,Đồng mắc
can complicate diagnosis with,Diagnosis_DiagnosticMethod,Cách chẩn đoán
can compromise,Etiology_AssociatedWith,Liên quan
can confirm,Etiology_AssociatedWith,Liên quan
can contribute to,Etiology_AssociatedWith,Liên quan
can cross,Etiology_AssociatedWith,Liên quan
can damage,Etiology_AssociatedWith,Liên quan
can decrease,MoA_ModulationOther,Điều hòa khác
can demonstrate,Etiology_AssociatedWith,Liên quan
can detect,Etiology_AssociatedWith,Liên quan
can develop,Etiology_AssociatedWith,Liên quan
can develop into,Etiology_AssociatedWith,Liên quan
can develop over time or come on,Etiology_AssociatedWith,Liên quan
can develop over time or present suddenly,Clinical_ManifestationPresentation,Biểu hiện
can displace,Etiology_AssociatedWith,Liên quan
can ensure,Etiology_AssociatedWith,Liên quan
can exacerbate,Etiology_AssociatedWith,Liên quan
can exhibit,Etiology_AssociatedWith,Liên quan
can exhibit additional features such as,Etiology_AssociatedWith,Liên quan
can expect,Etiology_AssociatedWith,Liên quan
can facilitate,Etiology_AssociatedWith,Liên quan
can feature,Etiology_AssociatedWith,Liên quan
can follow exposure to,Etiology_AssociatedWith,Liên quan
can form,Etiology_AssociatedWith,Liên quan
can harden into,Etiology_AssociatedWith,Liên quan
can have,Etiology_AssociatedWith,Liên quan
can have impact on,Etiology_AssociatedWith,Liên quan
can have implications for,Etiology_AssociatedWith,Liên quan
can have serious side effects including,Safety_AdverseEffect,Tác dụng phụ
can have side effects such as,Safety_AdverseEffect,Tác dụng phụ
can help,Etiology_AssociatedWith,Liên quan
can help alleviate,Etiology_AssociatedWith,Liên quan
can help confirm,Etiology_AssociatedWith,Liên quan
can help improve,Etiology_AssociatedWith,Liên quan
can help improve symptoms such as,Clinical_SymptomSign,Triệu chứng
can help maintain,Etiology_AssociatedWith,Liên quan
can help manage,Treatment_ManagementCare,Theo dõi / chăm sóc
